CAS,PARAMETER (IT),CHEMICAL SUBSTANCE
95-50-1,"1,2-Diclorobenzene","Benzene, 1,2-dichloro-"
95-51-2,2-cloroanilina,"Benzenamine, 2-chloro-"
95-53-4,2-Metilanilina [o-Toluidina],"Benzenamine, 2-methyl-"
95-53-4,2-Metilanina [o-Toluidina],"Benzenamine, 2-methyl-"
95-57-8,2-Clorofenolo,"Phenol, 2-chloro-"
95-69-2,4-cloro-2-metilanilina,"Benzenamine, 4-chloro-2-methyl-"
95-76-1,"3,4-dicloroanilina","Benzenamine, 3,4-dichloro-"
95-82-9,"2,5-dicloroanilina","Benzenamine, 2,5-dichloro-"
95-94-3,"1,2,4,5-Tetraclorobenzene","Benzene, 1,2,4,5-tetrachloro-"
96-18-4,"1,2,3-Tricloropropano","Propane, 1,2,3-trichloro-"
98-82-8,Isopropilbenzene,"Benzene, (1-methylethyl)-"
100-00-5,1-Cloro-4-nitrobenzene,"Benzene, 1-chloro-4-nitro-"
100-02-7,4-Nitrofenolo,"Phenol, 4-nitro-"
100-41-4,Etilbenzene,"Benzene, ethyl-"
100-42-5,Stirene,"Benzene, ethenyl-"
100-61-8,N-metil Anilina,"Benzenamine, N-methyl-"
103-69-5,N-etil Anilina,"Benzenamine, N-ethyl-"
104-40-5,p-nonilfenolo,"Phenol, 4-nonyl-"
105-67-9,"Dimetilfenolo 2,4","Phenol, 2,4-dimethyl-"
106-42-3,Xilene para,"Benzene, 1,4-dimethyl-"
106-43-4,4-Clorotoluene,"Benzene, 1-chloro-4-methyl-"
106-46-7,"1,4-diclorobenzene","Benzene, 1,4-dichloro-"
106-47-8,4-cloroanilina,"Benzenamine, 4-chloro-"
106-48-9,4-Clorofenolo,"Phenol, 4-chloro-"
106-49-0,p-toluidina,"Benzenamine, 4-methyl-"
106-93-4,"1,2-dibromoetano","Ethane, 1,2-dibromo-"
107-06-2,"Dicloroetano 1,2","Ethane, 1,2-dichloro-"
108-38-3,Xilene meta,"Benzene, 1,3-dimethyl-"
108-41-8,3-Clorotoluene,"Benzene, 1-chloro-3-methyl-"
108-42-9,3-cloroanilina,"Benzenamine, 3-chloro-"
108-43-0,3-Clorofenolo,"Phenol, 3-chloro-"
108-44-1,m-Toluidina,"Benzenamine, 3-methyl-"
108-70-3,"Triclorobenzene 1,3,5","Benzene, 1,3,5-trichloro-"
108-88-3,Toluene,"Benzene, methyl-"
108-90-7,Monoclorobenzene,"Benzene, chloro-"
108-95-2,Fenoli,Phenol
115-96-8,TCEP (tris-2cloroetil-fosfato),"Ethanol, 2-chloro-, 1,1',1''-phosphate"
117-81-7,Di-2-etilesilftalato,"1,2-Benzenedicarboxylic acid, 1,2-bis(2-ethylhexyl) ester"
118-74-1,Esaclorobenzene,"Benzene, 1,2,3,4,5,6-hexachloro-"
120-12-7,Antracene,Anthracene
120-82-1,"1,2,4-Triclorobenzene","Benzene, 1,2,4-trichloro-"
120-83-2,"2,4-Diclorofenolo","Phenol, 2,4-dichloro-"
121-73-3,3 Cloronitrobenzene,"Benzene, 1-chloro-3-nitro-"
122-34-9,Simazina,"1,3,5-Triazine-2,4-diamine, 6-chloro-N2,N4-diethyl-"
122-39-4,Difenilammina,"Benzenamine, N-phenyl-"
124-48-1,Dibromoclorometano,"Methane, dibromochloro-"
127-18-4,Tetracloroetilene,"Ethene, 1,1,2,2-tetrachloro-"
129-00-0,Pirene,Pyrene
131-11-3,Dimetil-ftalato (DMP),"1,2-Benzenedicarboxylic acid, 1,2-dimethyl ester"
139-40-2,Propazina,"1,3,5-Triazine-2,4-diamine, 6-chloro-N2,N4-bis(1-methylethyl)-"
140-66-9,para-terz-ottilfenolo,"Phenol, 4-(1,1,3,3-tetramethylbutyl)-"
156-59-2,Dicloroetilene cis,"Ethene, 1,2-dichloro-, (1Z)-"
156-60-5,Dicloroetilene trans,"Ethene, 1,2-dichloro-, (1E)-"
193-39-5,"Indeno(1,2,3-cd)pirene","Indeno[1,2,3-cd]pyrene"
206-44-0,Fluorantene,Fluoranthene
208-96-8,Acenaftilene,Acenaphthylene
218-01-9,Crisene,Chrysene
288-88-0,M.Mt.T.D.,"1H-1,2,4-Triazole"
307-24-4,PFHxA (Perfluoro Hexanoic Acid),"Hexanoic acid, 2,2,3,3,4,4,5,5,6,6,6-undecafluoro-"
307-55-1,PFDoA (Perfluoro Dodecanoic Acid),"Dodecanoic acid, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-tricosafluoro-"
319-84-6,HCH alfa,"Cyclohexane, 1,2,3,4,5,6-hexachloro-, (1.alpha.,2.alpha.,3.beta.,4.alpha.,5.beta.,6.beta.)-"
319-85-7,HCH-beta,"Cyclohexane, 1,2,3,4,5,6-hexachloro-, (1.alpha.,2.beta.,3.alpha.,4.beta.,5.alpha.,6.beta.)-"
319-86-8,HCH delta,"Cyclohexane, 1,2,3,4,5,6-hexachloro-, (1.alpha.,2.alpha.,3.alpha.,4.beta.,5.alpha.,6.beta.)-"
330-54-1,Diuron,"Urea, N'-(3,4-dichlorophenyl)-N,N-dimethyl-"
330-55-2,Linuron,"Urea, N'-(3,4-dichlorophenyl)-N-methoxy-N-methyl-"
333-41-5,Diazinone,"Phosphorothioic acid, O,O-diethyl O-[6-methyl-2-(1-methylethyl)-4-pyrimidinyl] ester"
335-67-1,PFOA (Perfluoro Octanoic Acid),"Octanoic acid, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-"
335-76-2,PFDA (Perfluoro Decanoic Acid),"Decanoic acid, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-nonadecafluoro-"
355-46-4,PFHxS (Perfluoro Hexane Sulfonate),"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-"
375-95-1,PFNA (Perfluoro Nonanoic Acid),"Nonanoic acid, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluoro-"
465-73-6,Isodrin,"1,4:5,8-Dimethanonaphthalene, 1,2,3,4,10,10-hexachloro-1,4,4a,5,8,8a-hexahydro-, (1R,4S,4aS,5R,8S,8aR)-rel-"
534-52-1,"2-Metil-4,6-dinitrofenolo (DNOC)","Phenol, 2-methyl-4,6-dinitro-"
540-59-0,"1,2-dicloroetilene","Ethene, 1,2-dichloro-"
541-73-1,"1,3 Diclorobenzene","Benzene, 1,3-dichloro-"
1912-24-9,Atrazina,"1,3,5-Triazine-2,4-diamine, 6-chloro-N2-ethyl-N4-(1-methylethyl)-"
608-27-5,"2,3-Dicloroanilina","Benzenamine, 2,3-dichloro-"
608-93-5,Pentaclorobenzene,"Benzene, 1,2,3,4,5-pentachloro-"
635-22-3,4-Cloro-3-Nitroanolina,"Benzenamine, 4-chloro-3-nitro-"
636-30-6,"2,4,5-Tricloroanilina","Benzenamine, 2,4,5-trichloro-"
637-92-3,ETBE ( etil terbutil etere ),"Propane, 2-ethoxy-2-methyl-"
1330-20-7,Xilene (somma isomeri),"Benzene, dimethyl-"
1634-04-4,MTBE (metil terbutil etere),"Propane, 2-methoxy-2-methyl-"
1698-60-8,Chloridazon,"3(2H)-Pyridazinone, 5-amino-4-chloro-2-phenyl-"
1717-00-6,"1,1-Dicloro-1-fluoro-etano (Freon 141)","Ethane, 1,1-dichloro-1-fluoro-"
1763-23-1,PFOS (Perfluoro Octane Sulfonate),"1-Octanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-"
2706-90-3,PFPeA (Perfluoro Pentanoic Acid),"Pentanoic acid, 2,2,3,3,4,4,5,5,5-nonafluoro-"
7782-49-2,Selenio,Selenium
5915-41-3,Terbutilazina,"1,3,5-Triazine-2,4-diamine, 6-chloro-N2-(1,1-dimethylethyl)-N4-ethyl-"
7286-69-3,Secbutilazina,"1,3,5-Triazine-2,4-diamine, 6-chloro-N2-ethyl-N4-(1-methylpropyl)-"
7439-89-6,Ferro,Iron
7440-36-0,Antimonio,Antimony
7440-42-8,Boro,Boron
7440-62-2,Vanadio,Vanadium
7664-41-7,Ammoniaca (non ionizzata),Ammonia
12002-48-1,Triclorobenzeni,"Benzene, trichloro-"
25057-89-0,Bentazone,"1H-2,1,3-Benzothiadiazin-4(3H)-one, 3-(1-methylethyl)-, 2,2-dioxide"
51235-04-2,Esazinone,"1,3,5-Triazine-2,4(1H,3H)-dione, 3-cyclohexyl-6-(dimethylamino)-1-methyl-"
