"Adda","Garlate (lago)","LC","Lecco","531673","5073980","operativo","4.60","57.00","30.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"Ticino","Ghirla (lago)","VA","Valganna","486324","5084480","operativo","4.50","1.00","11.00","BUONO","","","","","","","","","","","","","","","","","","","",""
"Oglio","Idro (lago)","BS","Anfo","617507","5070348","operativo","4.50","11.00","203.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"Lambro - Olona Meridionale","Idroscalo (Lago)","MI","Segrate","522574","5034534","sorveglianza","-","-","-","-","","","","","","","","","","","","","","","","","","","",""
"Oglio","Iseo (lago)","BS","Monte Isola","583750","5060289","operativo","4.00","7.00","134.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"Ticino","Lugano (lago) - bacino di Ponte Tresa","VA","Lavena – Ponte Tresa","489394","5089980","operativo","5.50","2.00","37.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"Ticino","Lugano (lago) - bacino nord","CO","Claino con Osteno","506017","5096017","operativo","7.30","10.00","103.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"Ticino","Lugano (lago) - bacino sud","VA","Porto Ceresio","492473","5083960","operativo","5.70","31.00","33.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"Ticino","Maggiore (lago)","VA","Ghiffa","471000","5090000","sorveglianza","-","-","-","-","","","","","","","","","","","","","","","","","","","",""
"Sarca - Mincio","Mantova di Mezzo (lago)","MN","Mantova","641701","5002580","operativo","0.80","117.40","64.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"Sarca - Mincio","Mantova Inferiore (lago)","MN","Mantova","642191","5000930","operativo","0.80","87.00","48.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"Sarca - Mincio","Mantova Superiore (lago)","MN","Mantova","639041","5002500","operativo","1.30","63.20","71.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"Adda","Mezzola (lago)","SO","Verceia","533774","5116679","operativo","4.30","73.00","15.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"Ticino","Monate (lago)","VA","Osmate Lentate","473484","5071580","sorveglianza","-","-","-","-","","","","","","","","","","","","","","","","","","","",""
"Adda","Montespluga (lago)","SO","Madesimo","526824","5148079","sorveglianza","-","-","-","-","","","","","","","","","","","","","","","","","","","",""
"Lambro - Olona Meridionale","Montorfano (lago)","CO","Montorfano","510728","5069900","operativo","2.20","48.00","34.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"Adda","Palabione (lago)","SO","Aprica","589708","5108628","sorveglianza","5.70","73.00","5.00","BUONO","","","","","","","","","","","","","","","","","","","",""
"Adda","Palù (lago)","SO","chiesa in valmalenco","566858","5127768","sorveglianza","8.30","87.00","10.00","ELEVATO","","","","","","","","","","","","","","","","","","","",""
"Ticino","Piano (lago)","CO","Carlazzo","512695","5098290","operativo","4.10","42.00","56.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"Adda","Pozzo di Riva (lago)","SO","Novate Mezzola","534047","5119251","operativo","2.20","82.00","45.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"Lambro - Olona Meridionale","Pusiano (lago)","CO","Pusiano","521708","5072285","operativo","3.90","18.00","25.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"Adda","San Giacomo di Fraele (lago)","SO","Valdidentro","597817","5154517","sorveglianza","-","-","-","-","","","","","","","","","","","","","","","","","","","",""
"Adda","Sartirana (lago)","LC","Merate","533073","5062580","operativo","1.20","86.00","53.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"Lambro - Olona Meridionale","Segrino (lago)","CO","Eupilio","520528","5074690","sorveglianza","-","-","-","-","","","","","","","","","","","","","","","","","","","",""
"Adda","Truzzo (lago)","SO","San Giacomo Filippo","524524","5134279","sorveglianza","-","-","-","-","","","","","","","","","","","","","","","","","","","",""
"Oglio","Valvestino (lago)","BS","Valvestino","625253","5063761","operativo","-","-","-","-","","","","","","","","","","","","","","","","","","","",""
"Ticino","Varese (lago)","VA","Biandronno","479464","5073430","operativo","5.10","1.00","114.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"Sarca - Mincio","Garda (lago) - bacino occidentale","BS","Brenzone","633947","5061953","sorveglianza","8.90","40.00","17.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"Sarca - Mincio","Garda (lago) - bacino sudorientale","BS","Bardolino","635063","5023672","sorveglianza","8.10","28.00","13.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
