ANNO,CODICE_ATS_RESIDENZA,DESCRIZIONE_ATS_RESIDENZA,COORDINATA_GEOGRAFICA_X,COORDINATA_GEOGRAFICA_Y,POSIZIONE_ATS,ATC LIVELLO 1 ,DESCRIZIONE_ATC LIVELLO 1,GENERE,FASCIA_ETA',POPOLAZIONE,DDD PER ATC LIVELLO 1
2013,326,ATS DI BRESCIA,10.25368782,45.65171815,"(45.65171815, 10.25368782)",H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",F,40-64,206067,42.754626165833
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",N,SISTEMA NERVOSO,F,80 e +,169192,164.22787814343
2014,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",S,ORGANI DI SENSO,M,65-79,75461,43.534921720504
2017,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",D,DERMATOLOGICI,F,80 e +,31991,2.0726927916381
2016,326,ATS DI BRESCIA,10.25368782,45.65171815,"(45.65171815, 10.25368782)",G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,18-39,140290,0.90925177483823
2017,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",R,SISTEMA RESPIRATORIO,F,0-17,98535,17.232561173484
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",B,SANGUE E ORGANI EMOPOIETICI,M,40-64,142753,52.498604495592
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",F,18-39,174939,0.62049557833498
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",M,SISTEMA MUSCOLO-SCHELETRICO,M,18-39,177741,3.4088145197322
2017,30,REGIONE LOMBARDIA,,,,M,SISTEMA MUSCOLO-SCHELETRICO,M,65-79,745631,52.85227117496
2012,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",N,SISTEMA NERVOSO,M,80 e +,14231,128.15717145218
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,0-17,290651,0.13068341668932
2013,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",D,DERMATOLOGICI,F,0-17,26851,0.43737051195257
2016,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",J,ANTINFETTIVI PER USO SISTEMICO,F,0-17,58909,20.104077003608
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",ALL,ALL,F,40-64,641756,641.71408661042
2013,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",A,APPARATO GASTROINTESTINALE E METABOLISMO,F,65-79,97503,365.74226957938
2015,30,REGIONE LOMBARDIA,,,,N,SISTEMA NERVOSO,F,80 e +,469990,174.55043423675
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",M,80 e +,22500,0.73551636210167
2012,30,REGIONE LOMBARDIA,,,,D,DERMATOLOGICI,M,65-79,702416,6.7875601540987
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",J,ANTINFETTIVI PER USO SISTEMICO,M,65-79,254084,22.656086341762
2017,30,REGIONE LOMBARDIA,,,,S,ORGANI DI SENSO,M,65-79,745631,47.521393095985
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",A,APPARATO GASTROINTESTINALE E METABOLISMO,M,40-64,142753,118.68945451833
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",ALL,ALL,M,0-17,65015,73.308007142881
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",B,SANGUE E ORGANI EMOPOIETICI,F,18-39,406268,19.086286780899
2013,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",J,ANTINFETTIVI PER USO SISTEMICO,F,0-17,26851,19.332704644564
2017,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",V,VARI,F,40-64,204812,0.90174060884222
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",F,80 e +,166515,46.46610086784
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",V,VARI,M,18-39,90292,0.050826571890651
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",N,SISTEMA NERVOSO,F,40-64,139069,76.27513481129
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",S,ORGANI DI SENSO,M,0-17,28179,0.26260690585188
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",D,DERMATOLOGICI,F,40-64,62543,2.2555338702078
2017,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",C,SISTEMA CARDIOVASCOLARE,M,18-39,140701,22.177585186922
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",M,SISTEMA MUSCOLO-SCHELETRICO,F,18-39,406268,3.8090126964519
2017,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",F,65-79,87591,64.154721784768
2013,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",D,DERMATOLOGICI,F,0-17,60035,0.45165434318565
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",M,SISTEMA MUSCOLO-SCHELETRICO,M,0-17,28662,0.22144407710462
2012,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",A,APPARATO GASTROINTESTINALE E METABOLISMO,M,18-39,66463,22.245959897181
2012,326,ATS DI BRESCIA,10.25368782,45.65171815,"(45.65171815, 10.25368782)",G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,40-64,211308,27.237265423822
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",B,SANGUE E ORGANI EMOPOIETICI,F,80 e +,63780,293.32914735317
2017,30,REGIONE LOMBARDIA,,,,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,M,40-64,1896311,3.1594380522029
2017,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,F,65-79,48255,28.117171616279
2017,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",F,18-39,130572,14.771484823435
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",J,ANTINFETTIVI PER USO SISTEMICO,F,18-39,406268,15.256056727277
2013,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",ALL,ALL,F,0-17,39741,55.889076014738
2012,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",D,DERMATOLOGICI,F,40-64,217074,2.3178699244563
2013,30,REGIONE LOMBARDIA,,,,J,ANTINFETTIVI PER USO SISTEMICO,F,40-64,1838463,18.499985357713
2012,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",A,APPARATO GASTROINTESTINALE E METABOLISMO,F,65-79,48114,363.49615896389
2017,326,ATS DI BRESCIA,10.25368782,45.65171815,"(45.65171815, 10.25368782)",V,VARI,F,0-17,97942,0.026190255895647
2017,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,M,40-64,213035,3.5720529024251
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",B,SANGUE E ORGANI EMOPOIETICI,M,80 e +,21224,361.59207074487
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",B,SANGUE E ORGANI EMOPOIETICI,M,18-39,422713,4.7266223397602
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",M,SISTEMA MUSCOLO-SCHELETRICO,M,65-79,254084,50.263793351595
2013,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",ALL,ALL,M,40-64,218331,802.530230588
2016,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",ALL,ALL,F,80 e +,31627,2604.5199799853
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",S,ORGANI DI SENSO,M,80 e +,7897,65.687785001761
2017,30,REGIONE LOMBARDIA,,,,M,SISTEMA MUSCOLO-SCHELETRICO,M,0-17,851765,0.22388110620143
2012,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",R,SISTEMA RESPIRATORIO,M,40-64,206086,26.689958531134
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",S,ORGANI DI SENSO,F,0-17,26467,0.32596808328386
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",D,DERMATOLOGICI,M,0-17,28179,0.60221665118346
2013,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",ALL,ALL,M,18-39,64711,138.46567629976
2015,30,REGIONE LOMBARDIA,,,,ALL,ALL,F,65-79,849220,2164.4214597028
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",M,SISTEMA MUSCOLO-SCHELETRICO,F,65-79,28143,91.79817128098
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,M,18-39,40305,0.81375083425762
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",A,APPARATO GASTROINTESTINALE E METABOLISMO,F,0-17,115657,3.8385117518713
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,M,0-17,295090,0.28235322714237
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",N,SISTEMA NERVOSO,M,0-17,295074,3.5944717811115
2013,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",V,VARI,M,0-17,42013,0.008297105393014
2017,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",A,APPARATO GASTROINTESTINALE E METABOLISMO,F,40-64,270349,107.14459239629
2013,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",C,SISTEMA CARDIOVASCOLARE,M,80 e +,7566,1461.9558265793
2013,326,ATS DI BRESCIA,10.25368782,45.65171815,"(45.65171815, 10.25368782)",V,VARI,F,65-79,89021,3.8142620553987
2014,326,ATS DI BRESCIA,10.25368782,45.65171815,"(45.65171815, 10.25368782)",N,SISTEMA NERVOSO,F,40-64,208667,83.366015096547
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,65-79,55967,192.00690915953
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",N,SISTEMA NERVOSO,F,80 e +,52133,157.94534856518
2015,30,REGIONE LOMBARDIA,,,,J,ANTINFETTIVI PER USO SISTEMICO,F,80 e +,469990,19.190716696199
2012,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",V,VARI,M,18-39,182703,0.080340089411163
2017,326,ATS DI BRESCIA,10.25368782,45.65171815,"(45.65171815, 10.25368782)",R,SISTEMA RESPIRATORIO,M,65-79,83315,69.52141426829
2017,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",C,SISTEMA CARDIOVASCOLARE,M,0-17,103875,0.89029401132407
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",A,APPARATO GASTROINTESTINALE E METABOLISMO,M,18-39,416993,20.613718923992
2012,326,ATS DI BRESCIA,10.25368782,45.65171815,"(45.65171815, 10.25368782)",P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",F,65-79,87394,1.6573019832809
2014,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",V,VARI,F,65-79,84361,3.4447570991125
2012,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",D,DERMATOLOGICI,M,80 e +,14231,4.3914215839407
2017,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,F,0-17,98535,0.69612944707138
2013,326,ATS DI BRESCIA,10.25368782,45.65171815,"(45.65171815, 10.25368782)",G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,40-64,212152,27.339022577229
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",A,APPARATO GASTROINTESTINALE E METABOLISMO,F,80 e +,52133,411.07868521201
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",A,APPARATO GASTROINTESTINALE E METABOLISMO,F,0-17,26995,3.2206692792703
2015,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",F,0-17,39732,2.9813479591239
2012,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",ALL,ALL,F,80 e +,41106,2644.5150185294
2013,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",J,ANTINFETTIVI PER USO SISTEMICO,M,65-79,252473,22.644811262604
2016,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,40-64,228520,28.029410872587
2017,326,ATS DI BRESCIA,10.25368782,45.65171815,"(45.65171815, 10.25368782)",L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,M,80 e +,27684,21.816782890209
2017,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",R,SISTEMA RESPIRATORIO,F,80 e +,70192,63.933455709357
2013,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",M,0-17,42013,0.11728026819064
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",S,ORGANI DI SENSO,M,80 e +,22500,62.738580926412
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",N,SISTEMA NERVOSO,F,0-17,26467,3.0565523116536
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",J,ANTINFETTIVI PER USO SISTEMICO,M,65-79,55967,19.089815695872
2014,326,ATS DI BRESCIA,10.25368782,45.65171815,"(45.65171815, 10.25368782)",M,SISTEMA MUSCOLO-SCHELETRICO,M,40-64,214541,14.215891591269
2016,326,ATS DI BRESCIA,10.25368782,45.65171815,"(45.65171815, 10.25368782)",C,SISTEMA CARDIOVASCOLARE,F,0-17,99737,0.85662830227531
2017,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",J,ANTINFETTIVI PER USO SISTEMICO,F,0-17,94900,16.767197158642
2017,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",S,ORGANI DI SENSO,M,80 e +,32568,65.981596760944
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",A,APPARATO GASTROINTESTINALE E METABOLISMO,M,65-79,25902,342.4294020452
2017,30,REGIONE LOMBARDIA,,,,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",F,80 e +,488815,51.776192241923
2017,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",B,SANGUE E ORGANI EMOPOIETICI,F,40-64,270349,32.728094290655
2013,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",V,VARI,F,65-79,304244,2.5266591160032
2013,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",S,ORGANI DI SENSO,M,80 e +,21226,66.258574045839
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",V,VARI,F,65-79,300992,2.3841050412679
2013,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,18-39,146478,0.66141398194128
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",A,APPARATO GASTROINTESTINALE E METABOLISMO,M,0-17,295074,4.5500396262957
2012,326,ATS DI BRESCIA,10.25368782,45.65171815,"(45.65171815, 10.25368782)",L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,M,0-17,108682,0.27354730819026
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",ALL,ALL,F,0-17,26023,50.729932831798
2016,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",C,SISTEMA CARDIOVASCOLARE,F,40-64,203692,248.87027969472
2012,326,ATS DI BRESCIA,10.25368782,45.65171815,"(45.65171815, 10.25368782)",H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",F,18-39,151228,15.100245636372
2013,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",ALL,ALL,M,80 e +,21226,3211.1332194895
