ANNO_EROG,ATS_ID,ATS_DESC,COORDINATA_GEOGRAFICA_X,COORDINATA_GEOGRAFICA_Y,POSIZIONE_ATS,LIV_4_ID,LIV_4_DESC,ATC_ID,ATC_DESC,CATEGORIA,GIORNI,POP,DDD_1000_AB_DIE
2016,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),J01DC,CEFALOSPORINE DI SECONDA GENERAZIONE,J01DC04,CEFACLORO,Watch,28589.5,773312,0.101
2019,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),J01MA,FLUOROCHINOLONI,J01MA06,NORFLOXACINA,Watch,22526,3120303,0.02
2018,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),J01CF,PENICILLINE RESISTENTI ALLE BETA-LATTAMASI,J01CF05,FLUCLOXACILLINA,Access,120,337850,0.001
2018,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),J01CA,PENICILLINE AD AMPIO SPETTRO,J01CA06,BACAMPICILLINA,Access,6048,1088853,0.015
2017,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),J01DE,CEFALOSPORINE DI QUARTA GENERAZIONE,J01DE01,CEFEPIME,Watch,1338.75,1003225,0.004
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),J01EE,"ASSOCIAZIONI DI SULFONAMIDI CON TRIMETOPRIM, INCLUSI I DERIV",J01EE01,SULFAMETOXAZOLO E TRIMETOPRIM,Access,103228.53,1204808,0.235
2017,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),J01GB,ALTRI AMINOGLICOSIDI,J01GB07,NETILMICINA,Watch,561.01,1398915,0.001
2018,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),J01CR,"ASSOCIAZIONI DI PENICILLINE, INCLUSI GLI INIBITORI DELLE BET",J01CR02,AMOXICILLINA E INIBITORE DELLA BETA-LATTAMASI,Access,2085906,770274,7.419
2016,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),J01MB,ALTRI CHINOLONICI,J01MB04,ACIDO PIPEMIDICO,,1200,465429,0.007
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),J01DE,CEFALOSPORINE DI QUARTA GENERAZIONE,J01DE01,CEFEPIME,Watch,3383,3073331,0.003
2019,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),J01MA,FLUOROCHINOLONI,J01MA07,LOMEFLOXACINA,Watch,2320,1040133,0.006
2014,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),J01CE,PENICILLINE SENSIBILI ALLE BETA-LATTAMASI,J01CE08,BENZILPENICILLINA BENZATINICA,Access,182,1104951,0
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),J01CA,PENICILLINE AD AMPIO SPETTRO,J01CA04,AMOXICILLINA,Access,463878.25,777288,1.635
2014,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),J01DB,CEFALOSPORINE DI PRIMA GENERAZIONE,J01DB01,CEFALEXINA,Access,4270.5,534036,0.022
2014,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),J01AA,TETRACICLINE,J01AA05,METACICLINA,Watch,336,393043,0.002
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),J01AA,TETRACICLINE,J01AA05,METACICLINA,Watch,56,51329,0.003
2018,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),J01FA,MACROLIDI,J01FA10,AZITROMICINA,Watch,483063.18,1111035,1.191
2018,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),J01MB,ALTRI CHINOLONICI,J01MB04,ACIDO PIPEMIDICO,,2230,1006931,0.006
2016,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),J01DB,CEFALOSPORINE DI PRIMA GENERAZIONE,J01DB04,CEFAZOLINA,Access,58.74,827631,0
2018,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),J01XX,ALTRI ANTIBATTERICI,J01XX01,FOSFOMICINA,Reserve,98963.05,1111035,0.244
2016,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),J01AA,TETRACICLINE,J01AA08,MINOCICLINA,Watch,23056,1014841,0.062
2019,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),J01XA,ANTIBATTERICI GLICOPEPTIDICI,J01XA02,TEICOPLANINA,Watch,591,1006931,0.002
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),J01XA,ANTIBATTERICI GLICOPEPTIDICI,J01XA02,TEICOPLANINA,Watch,826,651334,0.003
2019,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),J01DD,CEFALOSPORINE DI TERZA GENERAZIONE,J01DD16,CEFDITOREN,Watch,78590,1088853,0.198
2016,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),J01MA,FLUOROCHINOLONI,J01MA17,PRULIFLOXACINA,Watch,29744,696907,0.117
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),J01DD,CEFALOSPORINE DI TERZA GENERAZIONE,J01DD02,CEFTAZIDIMA,Watch,1334.76,759107,0.005
2014,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),J01FA,MACROLIDI,J01FA02,SPIRAMICINA,Watch,7011.49,508147,0.038
2018,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),J01FA,MACROLIDI,J01FA09,CLARITROMICINA,Watch,389269,770274,1.385
2018,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),J01DC,CEFALOSPORINE DI SECONDA GENERAZIONE,J01DC01,CEFOXITINA,Watch,17,1912584,0
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),J01FA,MACROLIDI,J01FA07,JOSAMICINA,Watch,486,297596,0.004
2017,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),J01DD,CEFALOSPORINE DI TERZA GENERAZIONE,J01DD04,CEFTRIAXONE,Watch,92595.77,1162351,0.218
2017,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),J01FA,MACROLIDI,J01FA07,JOSAMICINA,Watch,1080,1290579,0.002
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),J01DC,CEFALOSPORINE DI SECONDA GENERAZIONE,J01DC04,CEFACLORO,Watch,101914.5,3426401,0.081
2019,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),J01DC,CEFALOSPORINE DI SECONDA GENERAZIONE,J01DC02,CEFUROXIMA,Watch,18281.64,545810,0.092
2019,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),J01XE,DERIVATI NITROFURANICI,J01XE01,NITROFURANTOINA,Access,305,731373,0.001
2019,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),J01MA,FLUOROCHINOLONI,J01MA17,PRULIFLOXACINA,Watch,30656,1293110,0.065
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),J01DB,CEFALOSPORINE DI PRIMA GENERAZIONE,J01DB04,CEFAZOLINA,Access,404.91,3115910,0
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),J01MB,ALTRI CHINOLONICI,J01MB06,CINOXACINA,,280,497752,0.002
2017,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),J01DD,CEFALOSPORINE DI TERZA GENERAZIONE,J01DD09,CEFODIZIME,Watch,342.5,997977,0.001
2016,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),J01MB,ALTRI CHINOLONICI,J01MB06,CINOXACINA,,110,389065,0.001
2014,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),J01CF,PENICILLINE RESISTENTI ALLE BETA-LATTAMASI,J01CF05,FLUCLOXACILLINA,Access,216,336563,0.002
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),J01CA,PENICILLINE AD AMPIO SPETTRO,J01CA01,AMPICILLINA,Access,1828,293747,0.017
2015,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),J01FA,MACROLIDI,J01FA09,CLARITROMICINA,Watch,407388,548722,2.034
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),J01MA,FLUOROCHINOLONI,J01MA10,RUFLOXACINA,Watch,126,511345,0.001
2016,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),J01FA,MACROLIDI,J01FA06,ROXITROMICINA,Watch,7626,1075562,0.019
2017,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),J01MA,FLUOROCHINOLONI,J01MA02,CIPROFLOXACINA,Watch,340470.42,1435442,0.65
2018,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),J01MA,FLUOROCHINOLONI,J01MA06,NORFLOXACINA,Watch,3227,283137,0.031
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),J01MB,ALTRI CHINOLONICI,J01MB06,CINOXACINA,,640,604431,0.003
2018,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),J01FF,LINCOSAMIDI,J01FF02,LINCOMICINA,Watch,984.96,1111035,0.002
2019,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),J01XA,ANTIBATTERICI GLICOPEPTIDICI,J01XA02,TEICOPLANINA,Watch,231,648409,0.001
2017,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),J01GB,ALTRI AMINOGLICOSIDI,J01GB03,GENTAMICINA,Access,10,365597,0
2018,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),J01EE,"ASSOCIAZIONI DI SULFONAMIDI CON TRIMETOPRIM, INCLUSI I DERIV",J01EE01,SULFAMETOXAZOLO E TRIMETOPRIM,Access,147111.2,1111035,0.363
2018,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),J01FA,MACROLIDI,J01FA11,MIOCAMICINA,,3675,1023288,0.01
2016,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),J01CE,PENICILLINE SENSIBILI ALLE BETA-LATTAMASI,J01CE08,BENZILPENICILLINA BENZATINICA,Access,175.2,1163407,0
2017,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),J01XX,ALTRI ANTIBATTERICI,J01XX03,CLOFOCTOLO,Watch,1,12568,0
2019,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),J01AA,TETRACICLINE,J01AA08,MINOCICLINA,Reserve,12952,1328979,0.027
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),J01FA,MACROLIDI,J01FA10,AZITROMICINA,Watch,1390666,3405262,1.119
2018,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),J01MB,ALTRI CHINOLONICI,J01MB04,ACIDO PIPEMIDICO,,6280,3004368,0.006
2019,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),J01MA,FLUOROCHINOLONI,J01MA02,CIPROFLOXACINA,Watch,163441.71,1111035,0.403
2017,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),J01DB,CEFALOSPORINE DI PRIMA GENERAZIONE,J01DB04,CEFAZOLINA,Access,42.96,355771,0
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),J01AA,TETRACICLINE,J01AA08,MINOCICLINA,Reserve,16344,1320102,0.034
2017,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),J01DD,CEFALOSPORINE DI TERZA GENERAZIONE,J01DD09,CEFODIZIME,Watch,2147,2993148,0.002
2016,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),J01GB,ALTRI AMINOGLICOSIDI,J01GB06,AMIKACINA,Access,2133.5,1277732,0.005
2018,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),J01MA,FLUOROCHINOLONI,J01MA07,LOMEFLOXACINA,Watch,11400,3120303,0.01
2019,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),J01CF,PENICILLINE RESISTENTI ALLE BETA-LATTAMASI,J01CF05,FLUCLOXACILLINA,Access,2028,696784,0.008
2018,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),J01MB,ALTRI CHINOLONICI,J01MB04,ACIDO PIPEMIDICO,,2910,1198680,0.007
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),J01DD,CEFALOSPORINE DI TERZA GENERAZIONE,J01DD14,CEFTIBUTEN,Watch,14623.8,338291,0.118
2018,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),J01DB,CEFALOSPORINE DI PRIMA GENERAZIONE,J01DB01,CEFALEXINA,Access,11204,1361859,0.023
2015,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),J01FA,MACROLIDI,J01FA07,JOSAMICINA,Watch,1143,497709,0.006
2017,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),J01MA,FLUOROCHINOLONI,J01MA03,PEFLOXACINA,Watch,644,1242536,0.001
2016,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),J01DE,CEFALOSPORINE DI QUARTA GENERAZIONE,J01DE01,CEFEPIME,Watch,1217,1038121,0.003
2019,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),J01DE,CEFALOSPORINE DI QUARTA GENERAZIONE,J01DE01,CEFEPIME,Watch,668.28,1029132,0.002
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),J01MA,FLUOROCHINOLONI,J01MA06,NORFLOXACINA,Watch,23590,1077581,0.06
2019,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),J01DD,CEFALOSPORINE DI TERZA GENERAZIONE,J01DD08,CEFIXIMA,Watch,417195,1211082,0.944
2018,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),J01MA,FLUOROCHINOLONI,J01MA14,MOXIFLOXACINA,Watch,7705,294285,0.072
2018,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),J01DD,CEFALOSPORINE DI TERZA GENERAZIONE,J01DD01,CEFOTAXIMA,Watch,68.75,245494,0.001
2017,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),J01MA,FLUOROCHINOLONI,J01MA10,RUFLOXACINA,Watch,78,681344,0
2018,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),J01GB,ALTRI AMINOGLICOSIDI,J01GB03,GENTAMICINA,Access,16,15706,0.003
2019,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),J01MA,FLUOROCHINOLONI,J01MA07,LOMEFLOXACINA,Watch,2340,1006931,0.006
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),J01CA,PENICILLINE AD AMPIO SPETTRO,J01CA12,PIPERACILLINA,Watch,145.11,1194405,0
2018,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),J01DC,CEFALOSPORINE DI SECONDA GENERAZIONE,J01DC02,CEFUROXIMA,Watch,26212.59,1211082,0.059
2017,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),J01FA,MACROLIDI,J01FA15,TELITROMICINA,Watch,1225,3099770,0.001
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),J01CA,PENICILLINE AD AMPIO SPETTRO,J01CA12,PIPERACILLINA,Watch,42.07,651049,0
2019,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),J01AA,TETRACICLINE,J01AA04,LIMECICLINA,Watch,41762,1293110,0.088
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),J01MA,FLUOROCHINOLONI,J01MA02,CIPROFLOXACINA,Watch,211112.5,776529,0.745
2016,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),J01CR,"ASSOCIAZIONI DI PENICILLINE, INCLUSI GLI INIBITORI DELLE BET",J01CR05,PIPERACILLINA E INIBITORE DELLA BETA-LATTAMASI,Watch,998.9,1287979,0.002
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),J01DD,CEFALOSPORINE DI TERZA GENERAZIONE,J01DD02,CEFTAZIDIMA,Watch,4586.46,3437922,0.004
2018,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),J01DD,CEFALOSPORINE DI TERZA GENERAZIONE,J01DD08,CEFIXIMA,Watch,164435,545810,0.825
2019,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),J01FF,LINCOSAMIDI,J01FF01,CLINDAMICINA,Access,2482.76,1132020,0.006
2018,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),J01CE,PENICILLINE SENSIBILI ALLE BETA-LATTAMASI,J01CE08,BENZILPENICILLINA BENZATINICA,Access,945.2,3464423,0.001
2018,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),J01CF,PENICILLINE RESISTENTI ALLE BETA-LATTAMASI,J01CF05,FLUCLOXACILLINA,Access,120,752246,0
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),J01CF,PENICILLINE RESISTENTI ALLE BETA-LATTAMASI,J01CF04,OXACILLINA,Access,173,272706,0.002
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),J01CR,"ASSOCIAZIONI DI PENICILLINE, INCLUSI GLI INIBITORI DELLE BET",J01CR01,AMPICILLINA E INIBITORE DELLA BETA-LATTAMASI,Access,196.5,240636,0.002
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),J01GB,ALTRI AMINOGLICOSIDI,J01GB01,TOBRAMICINA,,749.07,1163959,0.002
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),J01DD,CEFALOSPORINE DI TERZA GENERAZIONE,J01DD01,CEFOTAXIMA,Watch,643.63,938019,0.002
2019,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),J01MA,FLUOROCHINOLONI,J01MA03,PEFLOXACINA,Watch,47,776834,0
2018,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),J01MA,FLUOROCHINOLONI,J01MA12,LEVOFLOXACINA,Watch,209791.5,520691,1.104
2018,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),J01DD,CEFALOSPORINE DI TERZA GENERAZIONE,J01DD04,CEFTRIAXONE,Watch,47222.36,1211082,0.107
2018,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),J01DC,CEFALOSPORINE DI SECONDA GENERAZIONE,J01DC10,CEFPROZIL,Watch,6,92076,0
2017,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),J01FA,MACROLIDI,J01FA01,ERITROMICINA,Watch,1650,1256404,0.004
2014,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),J01CR,"ASSOCIAZIONI DI PENICILLINE, INCLUSI GLI INIBITORI DELLE BET",J01CR02,AMOXICILLINA E INIBITORE DELLA BETA-LATTAMASI,Access,1312178.1,548326,6.556
2017,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),J01FA,MACROLIDI,J01FA02,SPIRAMICINA,Watch,33674.49,3265727,0.028
2018,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),J01DD,CEFALOSPORINE DI TERZA GENERAZIONE,J01DD02,CEFTAZIDIMA,Watch,296.49,294285,0.003
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),J01CA,PENICILLINE AD AMPIO SPETTRO,J01CA04,AMOXICILLINA,Access,867727.25,1435052,1.657
2018,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),J01CA,PENICILLINE AD AMPIO SPETTRO,J01CA12,PIPERACILLINA,Watch,37.03,549702,0
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),J01MA,FLUOROCHINOLONI,J01MA03,PEFLOXACINA,Watch,247,293747,0.002
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),J01CA,PENICILLINE AD AMPIO SPETTRO,J01CA12,PIPERACILLINA,Watch,127.19,3235982,0
2019,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),J01DC,CEFALOSPORINE DI SECONDA GENERAZIONE,J01DC01,CEFOXITINA,Watch,15.98,1816389,0
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),J01FA,MACROLIDI,J01FA02,SPIRAMICINA,Watch,4819.85,305805,0.043
2014,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),J01MA,FLUOROCHINOLONI,J01MA12,LEVOFLOXACINA,Watch,604682.5,1169595,1.416
2018,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),J01CE,PENICILLINE SENSIBILI ALLE BETA-LATTAMASI,J01CE08,BENZILPENICILLINA BENZATINICA,Access,150.8,1051707,0
2017,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),J01CA,PENICILLINE AD AMPIO SPETTRO,J01CA01,AMPICILLINA,Access,1530.5,951235,0.004
2014,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),J01FF,LINCOSAMIDI,J01FF02,LINCOMICINA,Watch,1207.83,1431829,0.002
2017,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),J01FF,LINCOSAMIDI,J01FF01,CLINDAMICINA,Access,2083.76,1098700,0.005
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),J01MB,ALTRI CHINOLONICI,J01MB06,CINOXACINA,,610,552141,0.003
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),J01FA,MACROLIDI,J01FA15,TELITROMICINA,Watch,10,91771,0
2015,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),J01DD,CEFALOSPORINE DI TERZA GENERAZIONE,J01DD09,CEFODIZIME,Watch,779.5,497709,0.004
2019,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),J01AA,TETRACICLINE,J01AA08,MINOCICLINA,Reserve,12452,1118016,0.031
2016,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),J01DC,CEFALOSPORINE DI SECONDA GENERAZIONE,J01DC10,CEFPROZIL,Watch,597,1280331,0.001
