ANNO,PROVINCIA,GENERE,CAUSA DI MORTE,COORDINATA X,COORDINATA Y,NUMERO DECESSI POPOLAZIONE,POSIZIONE
2015,SONDRIO,F,tumori-tumori maligni-di cui tumori maligni dell'ovaio,9.879429303,46.1707552,8,"(46.1707552, 9.879429303)"
2014,VARESE,M,malattie infettive e parassitarie-altre malattie infettive e parassitarie,8.80650544,45.80041256,54,"(45.80041256, 8.80650544)"
2014,COMO,F,alcune malattie infettive e parassitarie,9.039360974,45.80216962,77,"(45.80216962, 9.039360974)"
2015,CREMONA,F,tumori-tumori maligni-di cui tumori maligni della laringe,10.0131151,45.13644491,,"(45.13644491, 10.0131151)"
2015,COMO,F,tumori-tumori maligni-di cui tumori maligni della cervice uterina,9.039360974,45.80216962,2,"(45.80216962, 9.039360974)"
2013,REGIONE LOMBARDIA,F,tumori-tumori maligni-di cui tumori maligni della laringe,,,30,
2014,BERGAMO,M,tumori-tumori maligni-di cui tumori maligni del pancreas,9.63853045,45.68012929,117,"(45.68012929, 9.63853045)"
2014,ITALIA,ALL,tumori-tumori maligni-di cui tumori maligni del pancreas,,,11149,
2014,CREMONA,F,tumori-tumori maligni-di cui tumori maligni dell'esofago,10.0131151,45.13644491,3,"(45.13644491, 10.0131151)"
2012,MONZA E DELLA BRIANZA,M,tumori-tumori maligni-di cui tumori maligni del pancreas,9.258430902,45.5823624,66,"(45.5823624, 9.258430902)"
2014,PAVIA,ALL,tumori-tumori maligni-di cui tumori maligni dello stomaco,9.14034225,45.18407925,89,"(45.18407925, 9.14034225)"
2014,REGIONE LOMBARDIA,M,tumori-tumori maligni-di cui tumori maligni del seno,,,24,
2013,LECCO,M,tumori-tumori maligni-di cui tumori maligni del pancreas,9.388156645,45.85028614,39,"(45.85028614, 9.388156645)"
2014,LODI,ALL,tumori-tumori maligni-di cui tumori maligni del rene,9.510140481,45.31535435,13,"(45.31535435, 9.510140481)"
2014,REGIONE LOMBARDIA,M,"tumori-tumori maligni-di cui tumori maligni del colon, del retto e dell'ano",,,1514,
2012,REGIONE LOMBARDIA,ALL,tumori-tumori maligni-di cui tumori maligni della prostata,,,1051,
2015,SONDRIO,F,tumori-tumori maligni-di cui tumori maligni del fegato e dei dotti biliari intraepatici,9.879429303,46.1707552,14,"(46.1707552, 9.879429303)"
2013,BERGAMO,ALL,tumori-tumori maligni-di cui tumori maligni della laringe,9.63853045,45.68012929,25,"(45.68012929, 9.63853045)"
2015,ITALIA,F,malattie infettive e parassitarie-aids (malattia da hiv),,,160,
2013,VARESE,M,tumori-tumori maligni-di cui tumori maligni dello stomaco,8.80650544,45.80041256,94,"(45.80041256, 8.80650544)"
2014,LODI,M,tumori-tumori maligni,9.510140481,45.31535435,352,"(45.31535435, 9.510140481)"
2012,PAVIA,M,malattie infettive e parassitarie-aids (malattia da hiv),9.14034225,45.18407925,14,"(45.18407925, 9.14034225)"
2015,SONDRIO,M,tumori-tumori maligni-di cui tumori maligni del rene,9.879429303,46.1707552,9,"(46.1707552, 9.879429303)"
2013,MILANO,M,"tumori-tumori maligni-di cui tumori maligni del colon, del retto e dell'ano",9.18951,45.46427,518,"(45.46427, 9.18951)"
2013,PAVIA,F,tumori-tumori maligni-di cui tumori maligni della prostata,9.14034225,45.18407925,,"(45.18407925, 9.14034225)"
2015,MANTOVA,M,tumori-tumori maligni-di cui tumori maligni di altre parti dell'utero,10.77086348,45.14135331,,"(45.14135331, 10.77086348)"
2013,ITALIA,F,"tumori-tumori maligni-di cui tumori maligni della trachea, dei bronchi e dei polmoni",,,8857,
2012,REGIONE LOMBARDIA,F,tumori-tumori maligni-di cui tumori maligni della cervice uterina,,,82,
2013,COMO,F,"tumori-tumori maligni-di cui tumori maligni delle labbra, cavità orale e faringe",9.039360974,45.80216962,9,"(45.80216962, 9.039360974)"
2012,REGIONE LOMBARDIA,M,tumori,,,16855,
2013,LODI,F,tumori,9.510140481,45.31535435,308,"(45.31535435, 9.510140481)"
2013,COMO,F,tumori-tumori maligni-di cui tumori maligni della cervice uterina,9.039360974,45.80216962,4,"(45.80216962, 9.039360974)"
2014,CREMONA,F,tumori-tumori maligni-di cui tumori maligni della prostata,10.0131151,45.13644491,,"(45.13644491, 10.0131151)"
2015,PAVIA,ALL,tumori-tumori maligni-di cui tumori maligni del rene,9.14034225,45.18407925,39,"(45.18407925, 9.14034225)"
2015,PAVIA,ALL,malattie infettive e parassitarie-tubercolosi,9.14034225,45.18407925,3,"(45.18407925, 9.14034225)"
2014,LECCO,ALL,malattie infettive e parassitarie-epatite virale,9.388156645,45.85028614,15,"(45.85028614, 9.388156645)"
2012,PAVIA,F,tumori-tumori maligni,9.14034225,45.18407925,884,"(45.18407925, 9.14034225)"
2013,LECCO,ALL,malattie infettive e parassitarie-tubercolosi,9.388156645,45.85028614,1,"(45.85028614, 9.388156645)"
2014,BRESCIA,F,"tumori-tumori maligni-di cui tumori maligni della trachea, dei bronchi e dei polmoni",10.18167955,45.51939749,212,"(45.51939749, 10.18167955)"
2012,MONZA E DELLA BRIANZA,F,tumori-tumori maligni-di cui tumori maligni della prostata,9.258430902,45.5823624,,"(45.5823624, 9.258430902)"
2013,BERGAMO,M,tumori-tumori maligni-di cui tumori maligni del fegato e dei dotti biliari intraepatici,9.63853045,45.68012929,154,"(45.68012929, 9.63853045)"
2013,MANTOVA,M,tumori,10.77086348,45.14135331,695,"(45.14135331, 10.77086348)"
2015,COMO,ALL,"tumori-tumori maligni-di cui tumori maligni del colon, del retto e dell'ano",9.039360974,45.80216962,158,"(45.80216962, 9.039360974)"
2013,COMO,M,tumori-tumori maligni-di cui tumori maligni del rene,9.039360974,45.80216962,22,"(45.80216962, 9.039360974)"
2015,LECCO,M,"tumori-tumori maligni-di cui tumori maligni delle labbra, cavità orale e faringe",9.388156645,45.85028614,6,"(45.85028614, 9.388156645)"
2014,MANTOVA,M,tumori-tumori maligni-di cui tumori maligni del seno,10.77086348,45.14135331,,"(45.14135331, 10.77086348)"
2013,LODI,F,tumori-tumori maligni-di cui melanomi maligni della cute,9.510140481,45.31535435,,"(45.31535435, 9.510140481)"
2012,LECCO,M,malattie infettive e parassitarie-epatite virale,9.388156645,45.85028614,6,"(45.85028614, 9.388156645)"
2015,MONZA E DELLA BRIANZA,ALL,"tumori-tumori maligni-di cui tumori maligni del colon, del retto e dell'ano",9.258430902,45.5823624,247,"(45.5823624, 9.258430902)"
2015,REGIONE LOMBARDIA,F,"tumori-tumori maligni-di cui tumori maligni della trachea, dei bronchi e dei polmoni",,,1778,
2013,REGIONE LOMBARDIA,ALL,"tumori-tumori maligni-di cui tumori maligni della trachea, dei bronchi e dei polmoni",,,5837,
2014,MANTOVA,ALL,"tumori-tumori maligni-di cui tumori maligni della trachea, dei bronchi e dei polmoni",10.77086348,45.14135331,226,"(45.14135331, 10.77086348)"
2013,SONDRIO,ALL,tumori-tumori maligni,9.879429303,46.1707552,571,"(46.1707552, 9.879429303)"
2014,CREMONA,ALL,tumori,10.0131151,45.13644491,1189,"(45.13644491, 10.0131151)"
2015,MILANO,M,tumori-tumori maligni-di cui tumori maligni del fegato e dei dotti biliari intraepatici,9.18951,45.46427,368,"(45.46427, 9.18951)"
2015,COMO,M,malattie infettive e parassitarie-aids (malattia da hiv),9.039360974,45.80216962,9,"(45.80216962, 9.039360974)"
2012,SONDRIO,ALL,tumori-tumori maligni-di cui melanomi maligni della cute,9.879429303,46.1707552,6,"(46.1707552, 9.879429303)"
2013,CREMONA,ALL,tumori-tumori maligni-di cui tumori maligni della prostata,10.0131151,45.13644491,33,"(45.13644491, 10.0131151)"
2013,MANTOVA,F,malattie infettive e parassitarie-tubercolosi,10.77086348,45.14135331,2,"(45.14135331, 10.77086348)"
2012,COMO,F,tumori-tumori maligni-di cui melanomi maligni della cute,9.039360974,45.80216962,9,"(45.80216962, 9.039360974)"
2014,VARESE,F,tumori,8.80650544,45.80041256,1135,"(45.80041256, 8.80650544)"
2012,ITALIA,M,alcune malattie infettive e parassitarie,,,6089,
2012,REGIONE LOMBARDIA,M,"tumori-tumori maligni-di cui tumori maligni delle labbra, cavità orale e faringe",,,342,
2015,SONDRIO,F,tumori-tumori maligni-di cui tumori maligni della laringe,9.879429303,46.1707552,,"(46.1707552, 9.879429303)"
2014,SONDRIO,F,malattie infettive e parassitarie-altre malattie infettive e parassitarie,9.879429303,46.1707552,25,"(46.1707552, 9.879429303)"
2012,VARESE,ALL,tumori-tumori maligni-di cui tumori maligni del rene,8.80650544,45.80041256,68,"(45.80041256, 8.80650544)"
2013,PAVIA,M,malattie infettive e parassitarie-epatite virale,9.14034225,45.18407925,15,"(45.18407925, 9.14034225)"
2015,PAVIA,ALL,malattie infettive e parassitarie-epatite virale,9.14034225,45.18407925,62,"(45.18407925, 9.14034225)"
2015,CREMONA,M,"tumori-tumori maligni-di cui tumori maligni del colon, del retto e dell'ano",10.0131151,45.13644491,62,"(45.13644491, 10.0131151)"
2014,MILANO,ALL,"tumori-tumori maligni-di cui tumori maligni delle labbra, cavità orale e faringe",9.18951,45.46427,142,"(45.46427, 9.18951)"
2014,BRESCIA,F,tumori-tumori maligni-di cui tumori maligni del fegato e dei dotti biliari intraepatici,10.18167955,45.51939749,113,"(45.51939749, 10.18167955)"
2014,REGIONE LOMBARDIA,F,tumori-tumori maligni-di cui tumori maligni del fegato e dei dotti biliari intraepatici,,,685,
2014,SONDRIO,M,alcune malattie infettive e parassitarie,9.879429303,46.1707552,31,"(46.1707552, 9.879429303)"
2012,BERGAMO,ALL,tumori-tumori maligni-di cui tumori maligni dello stomaco,9.63853045,45.68012929,240,"(45.68012929, 9.63853045)"
2014,CREMONA,M,tumori-tumori maligni-di cui tumori maligni della laringe,10.0131151,45.13644491,7,"(45.13644491, 10.0131151)"
2012,LECCO,ALL,tumori-tumori maligni-di cui tumori maligni dello stomaco,9.388156645,45.85028614,71,"(45.85028614, 9.388156645)"
2014,COMO,F,tumori-tumori maligni,9.039360974,45.80216962,733,"(45.80216962, 9.039360974)"
2015,REGIONE LOMBARDIA,F,tumori-tumori maligni-di cui tumori maligni di altre parti dell'utero,,,324,
2012,MILANO,M,"tumori-tumori maligni-di cui tumori maligni del colon, del retto e dell'ano",9.18951,45.46427,560,"(45.46427, 9.18951)"
2015,VARESE,F,malattie infettive e parassitarie-aids (malattia da hiv),8.80650544,45.80041256,3,"(45.80041256, 8.80650544)"
2012,MONZA E DELLA BRIANZA,M,malattie infettive e parassitarie-aids (malattia da hiv),9.258430902,45.5823624,7,"(45.5823624, 9.258430902)"
2013,BRESCIA,F,tumori-tumori maligni-di cui tumori maligni della laringe,10.18167955,45.51939749,3,"(45.51939749, 10.18167955)"
2012,PAVIA,M,"tumori-tumori maligni-di cui tumori maligni della trachea, dei bronchi e dei polmoni",9.14034225,45.18407925,271,"(45.18407925, 9.14034225)"
2012,SONDRIO,M,tumori-tumori maligni-di cui tumori maligni del fegato e dei dotti biliari intraepatici,9.879429303,46.1707552,32,"(46.1707552, 9.879429303)"
2015,SONDRIO,F,tumori-tumori maligni-di cui tumori maligni del rene,9.879429303,46.1707552,7,"(46.1707552, 9.879429303)"
2012,PAVIA,F,"tumori-tumori maligni-di cui tumori maligni delle labbra, cavità orale e faringe",9.14034225,45.18407925,10,"(45.18407925, 9.14034225)"
2013,VARESE,F,tumori-tumori maligni-di cui tumori maligni del pancreas,8.80650544,45.80041256,100,"(45.80041256, 8.80650544)"
2015,LODI,ALL,tumori-tumori maligni-di cui tumori maligni della prostata,9.510140481,45.31535435,27,"(45.31535435, 9.510140481)"
2013,LODI,F,"tumori-tumori maligni-di cui tumori maligni del colon, del retto e dell'ano",9.510140481,45.31535435,40,"(45.31535435, 9.510140481)"
2015,ITALIA,ALL,tumori-tumori maligni-di cui tumori maligni di altre parti dell'utero,,,2516,
2013,MONZA E DELLA BRIANZA,F,malattie infettive e parassitarie-aids (malattia da hiv),9.258430902,45.5823624,2,"(45.5823624, 9.258430902)"
2015,MANTOVA,M,tumori,10.77086348,45.14135331,737,"(45.14135331, 10.77086348)"
2012,REGIONE LOMBARDIA,M,malattie infettive e parassitarie-tubercolosi,,,31,
2015,MILANO,F,tumori-tumori maligni-di cui tumori maligni del rene,9.18951,45.46427,79,"(45.46427, 9.18951)"
2012,MILANO,ALL,"tumori-tumori maligni-di cui tumori maligni delle labbra, cavità orale e faringe",9.18951,45.46427,169,"(45.46427, 9.18951)"
2012,VARESE,F,malattie infettive e parassitarie-epatite virale,8.80650544,45.80041256,20,"(45.80041256, 8.80650544)"
2015,PAVIA,F,tumori-tumori maligni,9.14034225,45.18407925,803,"(45.18407925, 9.14034225)"
2014,MANTOVA,ALL,tumori-tumori maligni-di cui tumori maligni della laringe,10.77086348,45.14135331,7,"(45.14135331, 10.77086348)"
2015,ITALIA,ALL,"tumori-tumori maligni-di cui tumori maligni della trachea, dei bronchi e dei polmoni",,,33836,
2013,BRESCIA,ALL,malattie infettive e parassitarie-epatite virale,10.18167955,45.51939749,61,"(45.51939749, 10.18167955)"
2014,ITALIA,ALL,tumori-tumori maligni-di cui tumori maligni della cervice uterina,,,453,
2014,SONDRIO,M,malattie infettive e parassitarie-altre malattie infettive e parassitarie,9.879429303,46.1707552,25,"(46.1707552, 9.879429303)"
2012,LECCO,ALL,tumori-tumori maligni-di cui tumori maligni di altre parti dell'utero,9.388156645,45.85028614,14,"(45.85028614, 9.388156645)"
2013,COMO,ALL,tumori-tumori maligni-di cui tumori maligni del fegato e dei dotti biliari intraepatici,9.039360974,45.80216962,105,"(45.80216962, 9.039360974)"
2015,MANTOVA,ALL,tumori,10.77086348,45.14135331,1306,"(45.14135331, 10.77086348)"
2012,CREMONA,F,tumori-tumori maligni-di cui tumori maligni della laringe,10.0131151,45.13644491,2,"(45.13644491, 10.0131151)"
2014,ITALIA,F,tumori-tumori maligni-di cui tumori maligni del pancreas,,,5764,
2013,PAVIA,ALL,tumori-tumori maligni-di cui tumori maligni della cervice uterina,9.14034225,45.18407925,2,"(45.18407925, 9.14034225)"
2013,LECCO,ALL,tumori-tumori maligni-di cui tumori maligni dello stomaco,9.388156645,45.85028614,77,"(45.85028614, 9.388156645)"
2013,COMO,F,tumori-tumori maligni-di cui tumori maligni dell'esofago,9.039360974,45.80216962,12,"(45.80216962, 9.039360974)"
2014,COMO,ALL,alcune malattie infettive e parassitarie,9.039360974,45.80216962,164,"(45.80216962, 9.039360974)"
2014,REGIONE LOMBARDIA,M,tumori-tumori maligni-di cui tumori maligni del pancreas,,,974,
2014,SONDRIO,ALL,tumori-tumori maligni-di cui tumori maligni dell'ovaio,9.879429303,46.1707552,10,"(46.1707552, 9.879429303)"
2012,LECCO,M,malattie infettive e parassitarie-altre malattie infettive e parassitarie,9.388156645,45.85028614,19,"(45.85028614, 9.388156645)"
2013,REGIONE LOMBARDIA,F,malattie infettive e parassitarie-altre malattie infettive e parassitarie,,,831,
2014,ITALIA,ALL,"tumori-tumori maligni-di cui tumori maligni delle labbra, cavità orale e faringe",,,2901,
2012,COMO,ALL,tumori-tumori maligni-di cui tumori maligni del fegato e dei dotti biliari intraepatici,9.039360974,45.80216962,117,"(45.80216962, 9.039360974)"
2013,BERGAMO,M,malattie infettive e parassitarie-tubercolosi,9.63853045,45.68012929,2,"(45.68012929, 9.63853045)"
2014,CREMONA,F,malattie infettive e parassitarie-tubercolosi,10.0131151,45.13644491,1,"(45.13644491, 10.0131151)"
2013,VARESE,M,tumori-tumori maligni-di cui tumori maligni della laringe,8.80650544,45.80041256,24,"(45.80041256, 8.80650544)"
2014,LECCO,M,tumori-tumori maligni-di cui melanomi maligni della cute,9.388156645,45.85028614,4,"(45.85028614, 9.388156645)"
2013,COMO,F,tumori-tumori maligni,9.039360974,45.80216962,769,"(45.80216962, 9.039360974)"
2014,VARESE,ALL,tumori-tumori maligni-di cui tumori maligni del seno,8.80650544,45.80041256,204,"(45.80041256, 8.80650544)"
2012,BRESCIA,M,tumori-tumori maligni-di cui tumori maligni dello stomaco,10.18167955,45.51939749,145,"(45.51939749, 10.18167955)"
2014,MILANO,ALL,tumori-tumori maligni-di cui melanomi maligni della cute,9.18951,45.46427,132,"(45.46427, 9.18951)"
2015,LECCO,M,"tumori-tumori maligni-di cui tumori maligni della trachea, dei bronchi e dei polmoni",9.388156645,45.85028614,150,"(45.85028614, 9.388156645)"
2012,COMO,ALL,tumori-tumori maligni-di cui tumori maligni dell'ovaio,9.039360974,45.80216962,42,"(45.80216962, 9.039360974)"
2012,LODI,F,"tumori-tumori maligni-di cui tumori maligni della trachea, dei bronchi e dei polmoni",9.510140481,45.31535435,42,"(45.31535435, 9.510140481)"
2012,LODI,ALL,"tumori-tumori maligni-di cui tumori maligni della trachea, dei bronchi e dei polmoni",9.510140481,45.31535435,147,"(45.31535435, 9.510140481)"
2013,MILANO,M,tumori-tumori maligni-di cui tumori maligni della cervice uterina,9.18951,45.46427,,"(45.46427, 9.18951)"
2013,REGIONE LOMBARDIA,M,tumori-tumori maligni-di cui tumori maligni del pancreas,,,1029,
2012,MONZA E DELLA BRIANZA,M,tumori-tumori maligni-di cui tumori maligni del rene,9.258430902,45.5823624,35,"(45.5823624, 9.258430902)"
2014,LODI,M,tumori-tumori maligni-di cui tumori maligni dell'esofago,9.510140481,45.31535435,6,"(45.31535435, 9.510140481)"
2013,MONZA E DELLA BRIANZA,ALL,tumori-tumori maligni-di cui tumori maligni del seno,9.258430902,45.5823624,210,"(45.5823624, 9.258430902)"
2014,MONZA E DELLA BRIANZA,ALL,"tumori-tumori maligni-di cui tumori maligni del colon, del retto e dell'ano",9.258430902,45.5823624,290,"(45.5823624, 9.258430902)"
2015,BERGAMO,M,tumori-tumori maligni-di cui melanomi maligni della cute,9.63853045,45.68012929,17,"(45.68012929, 9.63853045)"
2013,MILANO,M,tumori-tumori maligni-di cui tumori maligni della prostata,9.18951,45.46427,364,"(45.46427, 9.18951)"
2015,MONZA E DELLA BRIANZA,M,tumori-tumori maligni-di cui tumori maligni della prostata,9.258430902,45.5823624,71,"(45.5823624, 9.258430902)"
2014,MILANO,F,tumori-tumori maligni-di cui tumori maligni dello stomaco,9.18951,45.46427,190,"(45.46427, 9.18951)"
2014,REGIONE LOMBARDIA,M,tumori-tumori maligni-di cui tumori maligni dell'ovaio,,,,
2012,BRESCIA,M,tumori-tumori maligni-di cui tumori maligni della prostata,10.18167955,45.51939749,122,"(45.51939749, 10.18167955)"
2015,MONZA E DELLA BRIANZA,F,tumori,9.258430902,45.5823624,1189,"(45.5823624, 9.258430902)"
2012,ITALIA,M,tumori-tumori maligni-di cui melanomi maligni della cute,,,1078,
2012,BRESCIA,M,tumori-tumori maligni-di cui tumori maligni di altre parti dell'utero,10.18167955,45.51939749,,"(45.51939749, 10.18167955)"
2014,MANTOVA,ALL,tumori-tumori maligni-di cui tumori maligni di altre parti dell'utero,10.77086348,45.14135331,24,"(45.14135331, 10.77086348)"
2014,BERGAMO,M,tumori-tumori maligni-di cui tumori maligni della cervice uterina,9.63853045,45.68012929,,"(45.68012929, 9.63853045)"
2013,BRESCIA,F,tumori-tumori maligni-di cui melanomi maligni della cute,10.18167955,45.51939749,21,"(45.51939749, 10.18167955)"
2013,LODI,M,tumori-tumori maligni-di cui tumori maligni dell'esofago,9.510140481,45.31535435,10,"(45.31535435, 9.510140481)"
2014,BERGAMO,M,tumori-tumori maligni-di cui tumori maligni della prostata,9.63853045,45.68012929,89,"(45.68012929, 9.63853045)"
2013,MILANO,ALL,tumori-tumori maligni-di cui tumori maligni dell'esofago,9.18951,45.46427,93,"(45.46427, 9.18951)"
2015,LODI,M,malattie infettive e parassitarie-tubercolosi,9.510140481,45.31535435,2,"(45.31535435, 9.510140481)"
2014,ITALIA,M,tumori-tumori maligni-di cui tumori maligni della cervice uterina,,,,
2013,LODI,M,tumori-tumori maligni-di cui tumori maligni dello stomaco,9.510140481,45.31535435,41,"(45.31535435, 9.510140481)"
2014,SONDRIO,M,tumori-tumori maligni-di cui tumori maligni del fegato e dei dotti biliari intraepatici,9.879429303,46.1707552,41,"(46.1707552, 9.879429303)"
2013,MILANO,F,tumori-tumori maligni-di cui tumori maligni della laringe,9.18951,45.46427,8,"(45.46427, 9.18951)"
2013,LECCO,F,tumori-tumori maligni-di cui tumori maligni di altre parti dell'utero,9.388156645,45.85028614,15,"(45.85028614, 9.388156645)"
2013,LODI,F,malattie infettive e parassitarie-altre malattie infettive e parassitarie,9.510140481,45.31535435,18,"(45.31535435, 9.510140481)"
2013,PAVIA,F,tumori-tumori maligni,9.14034225,45.18407925,909,"(45.18407925, 9.14034225)"
2015,BERGAMO,F,tumori-tumori maligni-di cui melanomi maligni della cute,9.63853045,45.68012929,16,"(45.68012929, 9.63853045)"
2012,REGIONE LOMBARDIA,ALL,tumori-tumori maligni-di cui tumori maligni dello stomaco,,,1935,
2015,LECCO,F,tumori-tumori maligni-di cui melanomi maligni della cute,9.388156645,45.85028614,3,"(45.85028614, 9.388156645)"
