CLASSIFICAZIONE da REPORT,VACCINO,Patologia,Inizio Sintomi Anno,Sesso,Età Classe,Numero Pratiche,Popolazione Residente,Tasso Età-Sesso (x100'000),Tasso Regione(x 100000),Tasso Regione(x 100000) 1,Tasso
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",?,80-84,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",?,Da 85,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",F,00-04,2,204801,0.98,0,0,0.98
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",F,05-09,19,233829,8.13,0,0,8.13
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",F,10-14,21,234070,8.97,0,0,8.97
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",F,15-19,6,224886,2.67,0,0,2.67
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",F,20-24,3,222685,1.35,0,0,1.35
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",F,25-29,8,248027,3.23,0,0,3.23
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",F,30-34,1,276331,0.36,0,0,0.36
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",F,35-39,8,318785,2.51,0,0,2.51
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",F,40-44,4,387902,1.03,0,0,1.03
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",F,45-49,3,412848,0.73,0,0,0.73
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",F,50-54,6,415835,1.44,0,0,1.44
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",F,55-59,6,354869,1.69,0,0,1.69
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",F,60-64,1,311238,0.32,0,0,0.32
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",F,65-69,1,303649,0.33,0,0,0.33
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",F,70-74,0,272255,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",F,75-79,0,265069,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",F,80-84,1,207248,0.48,0,0,0.48
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",F,Da 85,3,234246,1.28,0,0,1.28
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",M,00-04,9,216323,4.16,0,0,4.16
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",M,05-09,20,248604,8.05,0,0,8.05
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",M,10-14,21,248365,8.46,0,0,8.46
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",M,15-19,10,243635,4.11,0,0,4.11
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",M,20-24,7,242990,2.88,0,0,2.88
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",M,25-29,13,258584,5.03,0,0,5.03
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",M,30-34,11,281707,3.91,0,0,3.91
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",M,35-39,13,326042,3.99,0,0,3.99
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",M,40-44,12,397804,3.02,0,0,3.02
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",M,45-49,8,423926,1.89,0,0,1.89
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",M,50-54,7,418931,1.67,0,0,1.67
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",M,55-59,6,343681,1.75,0,0,1.75
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",M,60-64,1,291857,0.34,0,0,0.34
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",M,65-69,0,275800,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",M,70-74,1,236682,0.42,0,0,0.42
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",M,75-79,0,211104,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",M,80-84,1,139909,0.72,0,0,0.72
MALATTIE BATTERICHE,,LEGIONELLOSI,"2,018",F,30-34,2,276331,0.72,0,0,0.72
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",M,Da 85,1,101741,0.98,0,0,0.98
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",?,05-09,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",?,10-14,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",?,15-19,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",?,20-24,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",?,30-34,1,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",?,35-39,1,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",?,40-44,1,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",?,45-49,1,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",?,50-54,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",?,55-59,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",?,60-64,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",?,65-69,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",?,70-74,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",?,75-79,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",?,80-84,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",?,Da 85,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",F,00-04,8,210119,3.81,0,0,3.81
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",F,05-09,15,236751,6.34,0,0,6.34
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",F,10-14,10,231050,4.33,0,0,4.33
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",F,15-19,5,223142,2.24,0,0,2.24
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",F,20-24,9,221555,4.06,0,0,4.06
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",F,25-29,12,248364,4.83,0,0,4.83
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",F,30-34,7,281945,2.48,0,0,2.48
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",F,35-39,14,327835,4.27,0,0,4.27
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",F,40-44,21,398014,5.28,0,0,5.28
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",F,45-49,14,414786,3.38,0,0,3.38
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",F,50-54,7,408037,1.72,0,0,1.72
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",F,55-59,9,345129,2.61,0,0,2.61
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",F,60-64,3,306620,0.98,0,0,0.98
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",F,65-69,3,308483,0.97,0,0,0.97
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",F,70-74,0,264279,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",F,75-79,1,266425,0.38,0,0,0.38
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",F,80-84,1,203526,0.49,0,0,0.49
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",F,Da 85,0,228743,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",M,00-04,9,221839,4.06,0,0,4.06
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",M,05-09,18,251590,7.15,0,0,7.15
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",M,10-14,15,245368,6.11,0,0,6.11
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",M,15-19,16,240836,6.64,0,0,6.64
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",M,20-24,56,238693,23.46,0,0,23.46
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",M,25-29,121,256332,47.2,0,0,47.2
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",M,30-34,133,286989,46.34,0,0,46.34
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",M,35-39,122,336647,36.24,0,0,36.24
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",M,40-44,123,409460,30.04,0,0,30.04
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",M,45-49,107,425292,25.16,0,0,25.16
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",M,50-54,44,410281,10.72,0,0,10.72
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",M,55-59,25,333214,7.5,0,0,7.5
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",M,60-64,13,286903,4.53,0,0,4.53
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",M,65-69,4,280400,1.43,0,0,1.43
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",M,70-74,3,228258,1.31,0,0,1.31
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",M,75-79,1,211179,0.47,0,0,0.47
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",M,80-84,1,134593,0.74,0,0,0.74
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,017",M,Da 85,0,96489,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",?,00-04,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",?,05-09,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",?,10-14,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",?,20-24,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",?,25-29,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",?,30-34,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",?,35-39,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",?,40-44,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",?,45-49,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",?,50-54,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",?,55-59,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",?,60-64,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",?,65-69,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",?,70-74,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",?,75-79,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",?,80-84,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",?,Da 85,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",F,00-04,5,215751,2.32,0,0,2.32
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",F,05-09,5,238764,2.09,0,0,2.09
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",F,10-14,4,228611,1.75,0,0,1.75
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",F,15-19,8,220634,3.63,0,0,3.63
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",F,20-24,1,221957,0.45,0,0,0.45
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",F,25-29,1,248957,0.4,0,0,0.4
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",F,30-34,2,288710,0.69,0,0,0.69
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",F,35-39,2,340060,0.59,0,0,0.59
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",F,40-44,4,406208,0.99,0,0,0.99
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",F,45-49,3,417987,0.72,0,0,0.72
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",F,50-54,3,396992,0.76,0,0,0.76
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",F,55-59,2,336685,0.59,0,0,0.59
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",F,60-64,0,302897,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",F,65-69,1,315654,0.32,0,0,0.32
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",F,70-74,0,256000,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",F,75-79,0,262539,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",F,80-84,0,202687,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",F,Da 85,0,220713,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",M,00-04,4,228646,1.75,0,0,1.75
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",M,05-09,8,253665,3.15,0,0,3.15
MALATTIE BATTERICHE,,LEGIONELLOSI,"2,018",F,35-39,6,318785,1.88,0,0,1.88
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",M,10-14,8,242648,3.3,0,0,3.3
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",M,15-19,4,237686,1.68,0,0,1.68
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",M,20-24,6,236509,2.54,0,0,2.54
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",M,25-29,8,256065,3.12,0,0,3.12
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",M,30-34,4,294091,1.36,0,0,1.36
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",M,35-39,4,349817,1.14,0,0,1.14
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",M,40-44,9,419353,2.15,0,0,2.15
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",M,45-49,3,428463,0.7,0,0,0.7
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",M,50-54,4,397258,1.01,0,0,1.01
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",M,55-59,1,324430,0.31,0,0,0.31
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",M,60-64,2,282487,0.71,0,0,0.71
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",M,65-69,0,287688,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",M,70-74,1,219093,0.46,0,0,0.46
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",M,75-79,0,206850,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",M,80-84,0,131134,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,016",M,Da 85,0,90660,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",?,05-09,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",?,10-14,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",?,20-24,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",?,25-29,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",?,30-34,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",?,35-39,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",?,40-44,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",?,45-49,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",?,50-54,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",?,55-59,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",?,60-64,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",?,65-69,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",?,70-74,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",?,75-79,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",?,80-84,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",?,Da 85,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",F,00-04,0,222049,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",F,05-09,6,238201,2.52,0,0,2.52
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",F,10-14,1,227533,0.44,0,0,0.44
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",F,15-19,1,216750,0.46,0,0,0.46
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",F,20-24,1,223944,0.45,0,0,0.45
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",F,25-29,3,250911,1.2,0,0,1.2
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",F,30-34,4,294363,1.36,0,0,1.36
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",F,35-39,1,356149,0.28,0,0,0.28
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",F,40-44,1,408865,0.25,0,0,0.25
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",F,45-49,2,421287,0.48,0,0,0.48
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",F,50-54,0,384206,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",F,55-59,2,329333,0.61,0,0,0.61
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",F,60-64,1,302758,0.33,0,0,0.33
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",F,65-69,0,304004,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",F,70-74,0,269185,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",F,75-79,1,256367,0.39,0,0,0.39
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,015",F,80-84,2,201276,0.99,0,0,0.99
